,state,year,District,Murder
322,GUJARAT,2005,SURAT COMMR.,86
323,HIMACHAL PRADESH,2005,KANGRA,21
324,JAMMU & KASHMIR,2005,BARAMULLA,78
325,JHARKHAND,2005,RANCHI,239
326,KERALA,2005,THRISSUR,41
327,MIZORAM,2005,MAMIT,4
328,MIZORAM,2005,LUNGLEI,4
329,MIZORAM,2005,CHAMPHAI,4
330,MIZORAM,2005,AIZAWL,4
331,TAMIL NADU,2005,CHENNAI,123
332,ANDHRA PRADESH,2006,CYBERABAD,193
333,ARUNACHAL PRADESH,2006,PAPUM PARE,10
334,BIHAR,2006,PATNA,338
335,HIMACHAL PRADESH,2006,KANGRA,19
336,JAMMU & KASHMIR,2006,DODA,65
337,MAHARASHTRA,2006,MUMBAI COMMR.,239
338,MEGHALAYA,2006,JAINTIA HILLS,51
339,ODISHA,2006,MAYURBHANJ,84
340,ODISHA,2006,KEONJHAR,84
341,WEST BENGAL,2006,24 PARGANAS NORTH,154
342,A & N ISLANDS,2006,ANDAMAN,3
343,DELHI UT,2006,DELHI UT TOTAL,476
344,LAKSHADWEEP,2006,TOTAL,0
345,LAKSHADWEEP,2006,LAKSHADWEEP,0
346,BIHAR,2007,PATNA,317
347,CHHATTISGARH,2007,BIZAPUR,113
348,GOA,2007,SOUTH GOA,18
349,JAMMU & KASHMIR,2007,BARAMULLA,47
350,MADHYA PRADESH,2007,INDORE,111
351,MIZORAM,2007,AIZAWL,18
352,SIKKIM,2007,WEST,6
353,TAMIL NADU,2007,CHENNAI,145
354,UTTARAKHAND,2007,HARIDWAR,55
355,CHANDIGARH,2007,TOTAL,19
356,CHANDIGARH,2007,CHANDIGARH,19
357,DELHI UT,2007,DELHI UT TOTAL,495
358,LAKSHADWEEP,2007,TOTAL,0
359,LAKSHADWEEP,2007,LAKSHADWEEP,0
360,CHHATTISGARH,2008,RAIPUR,112
361,CHHATTISGARH,2008,BILASPUR,112
362,GUJARAT,2008,SURAT COMMR.,97
363,HARYANA,2008,SONIPAT,84
364,HIMACHAL PRADESH,2008,MANDI,19
365,HIMACHAL PRADESH,2008,KANGRA,19
366,KARNATAKA,2008,BANGALORE COMMR.,253
367,MAHARASHTRA,2008,MUMBAI COMMR.,210
368,NAGALAND,2008,DIMAPUR,64
369,ODISHA,2008,KEONJHAR,91
370,TAMIL NADU,2008,CHENNAI,100
371,TRIPURA,2008,WEST,72
372,A & N ISLANDS,2008,TOTAL,8
373,A & N ISLANDS,2008,ANDAMAN,8
374,LAKSHADWEEP,2008,TOTAL,1
375,LAKSHADWEEP,2008,LAKSHADWEEP,1
376,GUJARAT,2009,SURAT COMMR.,101
377,JAMMU & KASHMIR,2009,SRINAGAR,23
378,MANIPUR,2009,IMPHAL WEST,32
379,NAGALAND,2009,DIMAPUR,15
380,ODISHA,2009,KEONJHAR,109
381,SIKKIM,2009,EAST,7
382,UTTARAKHAND,2009,HARIDWAR,67
383,CHANDIGARH,2009,TOTAL,22
384,CHANDIGARH,2009,CHANDIGARH,22
385,ARUNACHAL PRADESH,2010,SIANG WEST,9
386,ASSAM,2010,TINSUKIA,96
387,HARYANA,2010,HISSAR,91
388,MAHARASHTRA,2010,MUMBAI COMMR.,228
